//Tiempo de reloj multiplicación matrices secuencial//

[Seq Wall Time] N=100 : 0.00542712
[Seq Wall Time] N=250 : 0.087203
[Seq Wall Time] N=500 : 0.799013
[Seq Wall Time] N=1000 : 7.54732
[Seq Wall Time] N=1500 : 28.5588
[Seq Wall Time] N=2000 : 88.8393
[Seq Wall Time] N=2500 : 179.811
[Seq Wall Time] N=3000 : 354.9
[Seq Wall Time] N=4000 : 707.7
[Seq Wall Time] N=5000 : 1300.56
[Seq Wall Time] N=7000 : 3598.58
[Seq Wall Time] N=100 : 0.00536203
[Seq Wall Time] N=250 : 0.0786409
[Seq Wall Time] N=500 : 0.749844
[Seq Wall Time] N=1000 : 7.6268
[Seq Wall Time] N=1500 : 28.6145
[Seq Wall Time] N=2000 : 80.6347
[Seq Wall Time] N=2500 : 179.674
[Seq Wall Time] N=3000 : 306.612
[Seq Wall Time] N=4000 : 681.58
[Seq Wall Time] N=5000 : 1265.07
[Seq Wall Time] N=7000 : 3833.49
[Seq Wall Time] N=100 : 0.00506711
[Seq Wall Time] N=250 : 0.0784929
[Seq Wall Time] N=500 : 0.750433
[Seq Wall Time] N=1000 : 7.64754
[Seq Wall Time] N=1500 : 28.6408
[Seq Wall Time] N=2000 : 89.7895
[Seq Wall Time] N=2500 : 165.79
[Seq Wall Time] N=3000 : 323.072
[Seq Wall Time] N=4000 : 707.884
[Seq Wall Time] N=5000 : 1280.73
[Seq Wall Time] N=7000 : 3681.92
[Seq Wall Time] N=100 : 0.00527096
[Seq Wall Time] N=250 : 0.0795078
[Seq Wall Time] N=500 : 0.7491
[Seq Wall Time] N=1000 : 6.84822
[Seq Wall Time] N=1500 : 28.3757
[Seq Wall Time] N=2000 : 90.1731
[Seq Wall Time] N=2500 : 180.027
[Seq Wall Time] N=3000 : 266.218
[Seq Wall Time] N=4000 : 648.649
[Seq Wall Time] N=5000 : 1363.22
[Seq Wall Time] N=7000 : 3594.44
[Seq Wall Time] N=100 : 0.00525999
[Seq Wall Time] N=250 : 0.080729
[Seq Wall Time] N=500 : 0.750165
[Seq Wall Time] N=1000 : 7.65057
[Seq Wall Time] N=1500 : 28.3391
[Seq Wall Time] N=2000 : 89.8136
[Seq Wall Time] N=2500 : 199.761
[Seq Wall Time] N=3000 : 323.639
[Seq Wall Time] N=4000 : 763.176
[Seq Wall Time] N=5000 : 1337.15
[Seq Wall Time] N=7000 : 3594.06
[Seq Wall Time] N=100 : 0.00521589
[Seq Wall Time] N=250 : 0.0814462
[Seq Wall Time] N=500 : 0.752893
[Seq Wall Time] N=1000 : 7.44504
[Seq Wall Time] N=1500 : 28.4958
[Seq Wall Time] N=2000 : 89.4696
[Seq Wall Time] N=2500 : 172.261
[Seq Wall Time] N=3000 : 316.628
[Seq Wall Time] N=4000 : 680.18
[Seq Wall Time] N=5000 : 1260.17
[Seq Wall Time] N=7000 : 3739.52
[Seq Wall Time] N=100 : 0.00528126
[Seq Wall Time] N=250 : 0.0784039
[Seq Wall Time] N=500 : 0.756143
[Seq Wall Time] N=1000 : 7.63617
[Seq Wall Time] N=1500 : 29.0092
[Seq Wall Time] N=2000 : 89.0102
[Seq Wall Time] N=2500 : 182.421
[Seq Wall Time] N=3000 : 271.629
[Seq Wall Time] N=4000 : 664.502
[Seq Wall Time] N=5000 : 1361.26
[Seq Wall Time] N=7000 : 3598.65
[Seq Wall Time] N=100 : 0.00501074
[Seq Wall Time] N=250 : 0.0782108
[Seq Wall Time] N=500 : 0.753008
[Seq Wall Time] N=1000 : 7.56015
[Seq Wall Time] N=1500 : 28.5343
[Seq Wall Time] N=2000 : 89.0502
